ID,Glottocode,Selector_ID,Slot,Portmanteau,Role,Reference,Co-argument_role,Co-argument_reference,TAM,DIR/INV,Exemplar,Predicate_class,Miscellaneous_condition,Source,Comment,Coder
abkh1244-1,abkh1244,abkh1244-no-flagging,,NA,S,any,NA,NA,any,NA,any,default,,hewitt1979abkhaz[101],,AN
abkh1244-2,abkh1244,abkh1244-no-flagging,,simple,A,any,P,any,any,none,any,default,,hewitt1979abkhaz[101],,AN
abkh1244-3,abkh1244,abkh1244-no-flagging,,simple,P,any,A,any,any,none,any,default,,hewitt1979abkhaz[101],,AN
abun1252-1,abun1252,abun1252-no-flagging,,simple,A,any,P,any,any,none,any,default,,berry1999abun[153],,AWM
abun1252-2,abun1252,abun1252-no-flagging,,simple,P,any,A,any,any,none,any,default,,berry1999abun[153],,AWM
abun1252-3,abun1252,abun1252-no-flagging,,NA,S,any,NA,NA,any,NA,any,default,,berry1999abun[153],,AWM
achu1247-1,achu1247,achu1247-nom-marking-flagging,,NA,S,any,NA,NA,any,NA,any,default,default,deangulo1930achumawi[83-84],,AN
achu1247-2,achu1247,achu1247-no-flagging,,NA,S,any,NA,NA,any,NA,any,default,"unknown condition, “need not to be indicated, except as clearness demands it”",deangulo1930achumawi[83-84],,AN
achu1247-3,achu1247,achu1247-nom-marking-flagging,,simple,A,any,P,any,any,none,any,default,default,deangulo1930achumawi[83-84],,AN
achu1247-4,achu1247,achu1247-no-flagging,,simple,A,any,P,any,any,none,any,default,"unknown condition, “need not to be indicated, except as clearness demands it”",deangulo1930achumawi[83-84],,AN
achu1247-5,achu1247,achu1247-no-flagging,,simple,P,any,A,any,any,none,any,default,any,deangulo1930achumawi[83-84],,AN
agua1253-1,agua1253,agua1253-no-flagging,,simple,A,3sgPro,P,1plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-2,agua1253,agua1253-no-flagging,,simple,A,3sgPro,P,1sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-3,agua1253,agua1253-no-flagging,,simple,A,3sgPro,P,2plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-4,agua1253,agua1253-no-flagging,,simple,A,3sgPro,P,2sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-5,agua1253,agua1253-no-flagging,,simple,A,3sgPro,P,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
