ID,Glottocode,Parameter_ID,Value,Coder,Source
abkh1244-flagging,abkh1244,flagging,False,AN,hewitt1979abkhaz[101]
abkh1244-indexing,abkh1244,indexing,True,AN,hewitt1979abkhaz[101]
abkh1244-indexing-features,abkh1244,indexing-features,person+number,AN,hewitt1979abkhaz[101]
abkh1244-tam-split,abkh1244,tam-split,False,AN,hewitt1979abkhaz[101-103]
abkh1244-split-s,abkh1244,split-s,False,AN,hewitt1979abkhaz[101-103]
abkh1244-coargument-sensitivity flagging,abkh1244,coargument-sensitivity flagging,no,AN,hewitt1979abkhaz[101-103]
abkh1244-coargument-sensitivity indexing,abkh1244,coargument-sensitivity indexing,no,AN,hewitt1979abkhaz[101-103]
abun1252-flagging,abun1252,flagging,False,AWM,berry1999abun[153]
abun1252-indexing,abun1252,indexing,False,AWM;DI;MV,berry1999abun[153]
abun1252-indexing-features,abun1252,indexing-features,NA,AWM;DI;MV,berry1999abun[153]
abun1252-tam-split,abun1252,tam-split,False,AWM;DI;MV,"berry1999abun[153,25-26]"
abun1252-split-s,abun1252,split-s,False,AWM;DI;MV,"berry1999abun[153,25-26]"
abun1252-coargument-sensitivity flagging,abun1252,coargument-sensitivity flagging,no,AWM;DI;MV,"berry1999abun[153,25-26]"
abun1252-coargument-sensitivity indexing,abun1252,coargument-sensitivity indexing,no,AWM;DI;MV,"berry1999abun[153,25-26]"
achu1247-flagging,achu1247,flagging,True,AN,deangulo1930achumawi[83-84]
achu1247-indexing,achu1247,indexing,True,AN;AWM,deangulo1930achumawi[83-84]
achu1247-indexing-features,achu1247,indexing-features,person;person+number,AN;AWM,deangulo1930achumawi[83-84]
achu1247-tam-split,achu1247,tam-split,False,AN;AWM,"deangulo1930achumawi[83-84,89]"
achu1247-split-s,achu1247,split-s,False,AN;AWM,"deangulo1930achumawi[83-84,89]"
achu1247-coargument-sensitivity flagging,achu1247,coargument-sensitivity flagging,no,AN;AWM,"deangulo1930achumawi[83-84,89]"
achu1247-coargument-sensitivity indexing,achu1247,coargument-sensitivity indexing,yes,AN;AWM,"deangulo1930achumawi[83-84,89]"
agua1253-flagging,agua1253,flagging,True,AWM,overall2017aguaruna[233-272]
agua1253-indexing,agua1253,indexing,True,AWM;DI;MV,overall2017aguaruna[233-272]
agua1253-indexing-features,agua1253,indexing-features,person+number,AWM;DI;MV,overall2017aguaruna[233-272]
agua1253-tam-split,agua1253,tam-split,False,AWM;DI;MV,overall2017aguaruna[233-272]
agua1253-split-s,agua1253,split-s,False,AWM;DI;MV,overall2017aguaruna[233-272]
agua1253-coargument-sensitivity flagging,agua1253,coargument-sensitivity flagging,yes,AWM;DI;MV,overall2017aguaruna[233-272]
